episode,timestep,reward
11,2000,0.1252
26,4000,0.4036
43,6000,0.7762
63,8000,0.4108
91,10000,0.6487
123,12000,0.6319
166,14000,0.6552
197,16000,0.878
249,18000,0.9076
304,20000,0.822
379,22000,0.856
458,24000,0.8888
556,26000,0.9204
674,28000,0.8829
802,30000,0.8373
953,32000,0.9285
1136,34000,0.9356
1323,36000,0.9209
1514,38000,0.9277
1716,40000,0.8921
1932,42000,0.9315
2147,44000,0.9591
2385,46000,0.9546
2602,48000,0.9318
2854,50000,0.9651
3109,52000,0.9734
3372,54000,0.9666
3638,56000,0.9819
3923,58000,0.9867
4218,60000,0.9871
4522,62000,0.9941
4813,64000,0.9938
5132,66000,0.9944
5452,68000,0.985
5775,70000,0.9913
